molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
"2xj2_ligand",0,1,0,1,0,4,1,-1,338.408,5.646,640.864,273.946,148.200,218.718,0.000,1128.668,1.000,7.000,0.0282461,0.0109228,0.8180439,38.536,11.504,18.310,11.234,0.779,-4.181,-2.662,-4.438,24.605,-0.756,12.693,-5.159,8.560,0.753,3,-0.020,2,56.405,0.000,0.000,80.249,6,0,19,0,12,5,25,0,0.000
"2xj1_ligand",0,1,0,1,0,7,1,-2,338.408,2.810,624.780,181.902,202.063,240.815,0.000,1115.559,4.000,6.000,0.0070789,0.0192068,0.8325937,36.296,12.604,21.312,14.459,0.302,-3.534,-3.164,-4.308,7.590,-1.403,3.560,-5.786,8.746,0.878,3,-0.113,2,44.466,0.000,0.000,109.722,6,0,18,0,18,6,25,1,0.000
"2xii_ligand",0,1,0,0,0,6,0,-2,382.415,6.887,669.791,183.207,203.843,282.740,0.000,1178.998,5.000,11.100,0.0402332,0.0370569,0.8058137,39.877,13.745,27.251,21.574,0.119,-2.598,-2.375,-6.749,28.824,-1.493,11.841,-5.767,9.274,1.245,3,-0.500,2,53.768,0.000,0.000,139.607,7,0,19,0,19,5,28,0,0.002
"2xib_ligand",1,1,0,0,0,3,0,-1,147.174,4.932,340.945,193.890,147.055,0.000,0.000,533.062,4.000,6.600,0.0456385,0.0387159,0.9325371,13.253,5.314,13.719,13.237,-1.468,0.222,0.498,-3.350,99.604,-0.346,45.236,-6.004,9.174,-2.241,3,-0.787,2,54.113,0.000,0.000,79.377,4,0,6,0,6,5,10,0,0.243
"2xht_ligand",0,0,0,0,0,3,0,0,263.336,4.261,497.712,346.488,70.316,80.907,0.000,887.442,1.000,5.450,0.0204547,0.0109501,0.8973196,28.208,7.938,13.364,8.117,2.225,-3.000,-2.899,-3.579,2133.498,-0.200,1122.173,-2.242,9.296,-0.025,3,-0.101,3,100.000,0.000,0.000,55.001,4,0,12,0,12,4,19,0,1.508
"2xhm_ligand",2,0,0,2,3,16,0,-2,535.533,9.123,804.143,317.785,270.044,212.828,3.485,1567.479,4.750,11.750,0.0531009,0.0318458,0.8115209,48.335,17.214,30.446,25.482,1.335,-1.511,-3.987,2.141,0.443,-3.126,0.874,-4.211,9.042,-0.027,6,-1.438,1,0.000,0.000,74.875,199.291,11,3,12,0,12,0,37,1,1.016
"2xg9_ligand",3,1,0,0,0,11,1,-2,325.315,5.241,508.533,227.652,280.881,0.000,0.000,926.529,8.000,16.800,0.0296510,0.0934405,0.9038271,23.863,10.847,28.951,28.692,-3.567,-0.175,0.851,-3.814,5.361,-1.993,1.922,-7.703,9.303,-1.501,7,-1.078,1,6.153,0.000,0.000,174.299,10,1,12,0,12,10,22,2,0.004
"2xej_ligand",9,0,0,3,1,26,0,-2,591.614,12.059,1112.074,697.902,379.387,34.785,0.000,1930.847,3.500,17.500,0.0753155,0.0294400,0.6743155,54.756,21.490,33.442,23.155,1.962,-4.845,-3.816,-0.171,0.029,-6.566,0.018,-5.893,9.944,0.111,9,-1.737,1,0.000,0.000,17.760,265.200,17,2,5,0,5,0,41,2,0.000
"2xei_ligand",10,0,0,3,1,23,0,-2,654.589,13.592,1092.010,416.386,551.794,123.830,0.000,1946.341,4.500,15.400,0.0949236,0.0299158,0.6903740,58.153,23.373,36.454,25.192,1.718,-5.587,-6.147,-0.336,0.001,-8.541,0.000,-9.045,9.366,1.397,10,-1.167,1,0.000,0.000,21.122,337.034,21,3,11,0,11,0,46,2,0.000
"2xeg_ligand",12,0,0,3,1,29,0,-2,742.695,9.166,1003.944,480.289,449.694,73.962,0.000,2046.239,4.500,18.800,0.0410613,0.0397241,0.7764131,57.822,21.791,37.300,26.325,1.798,-1.983,-6.534,1.294,0.005,-6.158,0.003,-6.763,9.885,1.923,12,-1.616,1,0.000,0.000,25.899,344.702,23,3,11,0,11,0,52,2,0.001
"2xef_ligand",17,0,0,3,1,41,0,-2,918.907,13.667,1593.394,915.508,556.653,121.232,0.000,2864.100,4.500,25.600,0.0652201,0.0340818,0.6121165,83.299,34.555,49.266,32.643,2.886,-7.165,-7.255,-1.590,0.001,-11.812,0.000,-7.415,9.499,1.497,16,-1.815,1,0.000,0.000,23.187,388.669,27,3,11,0,11,0,64,3,0.000
"2xdx_ligand",0,0,0,0,0,3,0,0,235.672,4.110,458.728,91.061,92.809,200.762,74.097,746.873,2.000,3.250,0.0226120,0.0100194,0.8678427,23.727,8.109,12.655,8.315,2.284,-3.264,-3.356,-4.628,1305.555,-0.257,1680.398,-2.235,8.748,0.541,1,-0.146,3,96.084,0.000,0.000,54.981,4,0,12,0,12,0,16,0,0.788
"2xdl_ligand",0,0,0,0,0,5,0,0,223.271,6.047,471.778,298.075,80.941,92.763,0.000,799.698,1.000,4.500,0.0457276,0.0095384,0.8831709,23.525,7.153,11.503,6.830,2.025,-2.436,-2.375,-3.865,1691.764,-0.430,873.290,-2.204,9.036,0.083,2,-0.248,3,96.581,0.000,0.000,56.278,4,0,6,0,6,0,16,0,4.031
"2xdk_ligand",0,0,0,0,0,2,0,0,172.189,1.499,384.457,0.000,128.065,256.392,0.000,605.493,2.000,4.000,0.0037128,0.0147139,0.9003066,19.242,6.992,11.225,9.687,0.764,-1.750,-1.988,-4.368,604.590,-0.610,287.167,-2.785,8.872,0.833,3,-0.511,3,81.203,0.000,0.000,62.276,4,0,12,0,12,0,13,0,5.026
"2xde_ligand",0,0,0,0,1,7,0,0,425.529,4.013,714.357,217.603,71.208,425.546,0.000,1356.709,1.250,4.750,0.0118723,0.0074342,0.8296745,47.711,14.576,20.427,11.082,5.168,-5.788,-6.573,-4.943,1516.759,-0.548,1098.804,-0.661,8.193,0.160,5,0.758,3,100.000,0.000,17.553,73.071,5,1,21,0,21,0,32,1,0.152
"2xda_ligand",0,0,0,1,0,7,0,-2,298.353,3.265,545.367,279.240,209.850,18.531,37.746,937.127,4.000,6.150,0.0113786,0.0225536,0.8491979,27.032,9.674,18.084,12.970,1.444,-3.005,-2.830,-2.253,25.674,-1.706,19.338,-4.650,9.411,0.569,5,-0.526,2,60.626,0.000,0.000,110.108,5,0,12,3,9,7,20,0,0.007
"2xd9_ligand",0,0,0,1,0,5,0,-2,270.300,5.436,489.652,192.010,209.762,49.769,38.111,827.528,4.000,6.150,0.0357139,0.0251199,0.8705622,24.228,8.910,17.595,13.489,0.881,-2.533,-2.533,-2.056,25.723,-1.490,19.467,-4.730,9.073,0.993,5,-0.648,2,57.347,0.000,0.000,110.104,5,0,9,0,9,4,18,0,0.015
"2xc4_ligand",3,1,0,0,0,5,0,1,536.913,11.467,850.267,112.130,105.250,420.188,212.700,1501.419,2.000,10.000,0.0875747,0.0166326,0.7457802,54.735,16.306,28.769,17.090,4.406,-6.847,-6.142,-8.376,248.151,-0.079,1774.851,-3.562,8.968,1.042,4,0.441,1,82.649,141.191,0.000,98.919,7,1,23,0,23,4,37,1,0.000
"2xc0_ligand",3,0,0,0,0,6,0,-2,546.545,15.478,877.016,260.451,163.775,369.388,83.402,1567.642,2.000,13.250,0.1528192,0.0213660,0.7441412,56.258,16.881,31.494,20.142,3.035,-6.618,-6.083,-7.434,277.217,-1.565,353.980,-2.661,8.946,0.999,4,-0.073,1,75.479,83.168,0.000,145.180,10,1,23,0,23,4,38,1,0.000
"2xbx_ligand",1,0,0,0,0,5,0,-2,532.973,5.395,846.983,167.574,163.979,401.508,113.922,1506.432,2.000,12.500,0.0193212,0.0208713,0.7503374,54.757,17.240,28.989,19.783,3.131,-6.688,-6.115,-7.487,275.985,-1.400,517.704,-2.647,8.808,0.762,3,-0.029,1,76.010,42.185,0.000,133.122,9,1,23,0,23,4,36,1,0.000
"2xbw_ligand",2,0,0,0,0,6,0,-2,533.961,8.928,845.658,88.747,228.670,412.663,115.577,1490.020,4.000,13.000,0.0534999,0.0307453,0.7460452,53.565,18.114,32.503,23.497,2.191,-6.430,-5.873,-7.609,67.208,-2.254,114.831,-3.704,8.940,0.938,3,-0.194,1,59.522,42.682,0.000,164.579,10,1,23,0,23,4,36,1,0.000
"2xbv_ligand",2,1,0,0,0,5,0,1,519.910,8.407,839.449,143.121,107.648,400.802,187.878,1484.715,2.000,11.000,0.0476055,0.0185316,0.7497784,53.881,16.160,28.337,17.925,3.761,-6.200,-5.405,-8.218,235.491,-0.155,1226.324,-3.674,9.054,0.949,5,0.208,3,78.461,115.838,0.000,111.034,8,1,23,0,23,4,36,1,0.000
"2xbp_ligand",7,0,0,4,0,14,3,-2,507.183,14.189,669.771,72.152,487.386,100.787,9.445,1197.882,4.000,20.100,0.1680795,0.0600205,0.8144198,33.758,14.473,31.199,27.903,-2.372,-0.540,-2.222,2.214,0.004,-5.156,0.000,-8.803,8.341,0.302,4,-2.655,1,0.000,0.000,0.000,276.753,18,3,14,0,14,4,31,1,0.000
"2xb8_ligand",0,0,0,1,0,7,1,-2,310.303,3.324,512.953,182.605,215.893,114.455,0.000,911.378,4.000,8.900,0.0121247,0.0347010,0.8862436,26.918,10.047,19.642,16.281,0.402,-2.000,-2.513,-2.111,22.500,-1.691,10.416,-4.423,9.148,0.213,6,-0.809,2,53.500,0.000,0.000,136.824,7,0,12,0,12,5,22,1,0.117
"2xb7_ligand",3,2,0,0,0,7,0,1,614.204,7.466,977.576,577.352,86.081,272.783,41.361,1833.614,1.000,11.750,0.0304001,0.0120195,0.7411163,65.338,18.748,30.021,16.021,4.596,-5.992,-6.049,-8.474,94.059,-0.005,79.259,-5.598,7.805,0.748,5,0.837,3,76.218,0.000,0.000,91.034,10,1,30,0,30,9,42,1,0.000
"2xab_ligand",1,0,0,0,0,4,0,-1,295.337,5.877,566.952,151.677,129.115,286.160,0.000,980.642,1.000,3.500,0.0352236,0.0061734,0.8419611,33.256,10.447,14.730,7.938,3.404,-4.693,-4.705,-5.454,590.885,-0.892,280.138,-2.507,7.893,0.910,4,0.442,3,96.480,0.000,0.000,70.387,4,0,15,0,15,0,22,0,0.019
"2x97_ligand",3,0,0,2,4,14,0,-2,498.472,4.323,805.604,343.069,300.274,162.261,0.000,1496.609,4.500,14.500,0.0124880,0.0381815,0.7854452,46.301,16.503,30.255,28.840,-1.018,-0.825,-1.317,3.335,0.192,-3.525,0.410,-5.138,9.150,-0.117,6,-2.295,1,0.000,0.000,84.475,235.752,12,2,6,0,6,0,34,1,0.542
"2x96_ligand",1,0,0,2,1,13,0,-2,617.637,9.970,780.174,197.278,181.633,401.263,0.000,1660.619,3.500,10.500,0.0598597,0.0251786,0.8692677,55.789,18.161,30.925,19.153,4.701,-4.055,-7.972,-0.572,9.421,-1.823,6.740,-2.205,8.350,0.096,5,-0.121,2,58.949,0.000,13.387,167.313,10,1,26,0,26,5,44,1,0.339
"2x95_ligand",2,2,0,2,1,16,0,-2,494.589,7.427,798.639,218.106,271.918,308.615,0.000,1517.369,6.250,8.250,0.0363524,0.0258252,0.7996043,47.245,17.840,30.192,20.730,0.405,-2.103,-3.647,-2.709,0.074,-2.439,0.049,-8.033,8.238,-0.077,8,-0.542,1,0.000,0.000,18.773,173.075,9,1,15,0,15,0,36,2,0.000
"2x91_ligand",0,2,0,2,1,13,0,-2,405.493,3.607,683.272,263.101,259.990,160.181,0.000,1279.476,5.000,9.500,0.0101688,0.0310896,0.8341798,38.233,14.189,25.395,19.691,-1.224,-0.659,-1.196,-1.442,0.090,-1.914,0.064,-8.624,9.619,-0.055,7,-0.980,1,1.044,0.000,22.387,158.337,8,0,11,0,11,4,29,2,0.000
"2x09_ligand",3,2,0,0,0,5,0,-1,188.226,1.680,390.932,206.606,184.325,0.000,0.000,638.056,5.000,8.100,0.0044219,0.0463307,0.9168607,16.170,6.759,16.536,16.112,-2.261,1.246,1.426,-4.330,11.009,-0.403,4.629,-8.562,9.188,-2.328,5,-0.823,2,32.352,0.000,0.000,96.196,5,0,8,0,8,7,13,1,0.009
"2x8z_ligand",0,0,0,1,1,4,1,-1,217.282,7.492,432.826,258.884,104.741,0.000,69.200,723.225,1.000,4.500,0.0776105,0.0103968,0.9002597,20.221,6.509,11.156,7.941,0.347,-1.712,-1.302,0.036,178.889,-0.369,343.620,-3.066,9.142,-0.343,3,-0.873,3,69.294,0.000,19.303,71.738,4,0,5,0,5,4,14,0,3.622
"2x7u_ligand",0,0,0,0,0,5,0,-2,381.486,6.151,619.789,389.089,190.377,40.249,0.074,1133.271,3.000,7.450,0.0333898,0.0208196,0.8481580,36.373,11.067,20.776,13.409,1.700,-3.525,-4.237,-4.181,155.078,-1.502,66.044,-4.406,9.022,0.658,4,0.051,3,76.107,0.000,0.000,102.997,6,0,17,0,17,11,26,0,0.001
"2x7t_ligand",0,0,0,0,0,7,1,-2,458.587,3.630,700.771,383.193,273.466,41.681,2.431,1298.589,4.000,9.500,0.0101475,0.0271130,0.8214289,41.719,13.427,25.204,17.222,1.309,-4.497,-4.904,-4.620,25.271,-2.554,9.574,-5.741,9.162,0.852,3,-0.014,2,59.715,0.000,0.000,148.149,8,0,17,0,17,11,30,0,0.000
"2x6x_ligand",14,0,0,0,1,22,4,-2,691.636,13.216,799.458,377.150,422.308,0.000,0.000,1693.750,13.000,34.800,0.1031290,0.1569479,0.8595459,47.504,19.482,55.767,53.780,-7.087,0.326,1.105,-2.430,0.804,-4.573,0.277,-7.190,9.637,-1.080,11,-2.624,1,0.000,0.000,10.813,327.408,21,3,24,0,24,20,47,2,0.095
"2x4z_ligand",0,1,0,0,1,6,0,0,490.625,3.817,843.846,400.941,96.980,299.708,46.217,1541.216,3.000,7.500,0.0094531,0.0153942,0.7646758,54.535,16.579,26.754,15.886,4.184,-6.189,-5.605,-6.121,234.115,-0.392,264.199,-3.738,8.378,0.944,6,0.623,3,93.853,0.000,13.028,100.817,9,0,23,0,23,2,35,1,0.000
"2x2r_ligand",0,1,0,1,0,9,0,-1,343.483,4.334,612.117,174.112,140.872,282.309,14.824,1110.575,3.000,3.500,0.0169143,0.0099036,0.8472844,35.208,12.316,18.085,9.932,1.902,-3.814,-4.230,-4.268,28.874,-0.852,18.192,-4.320,8.800,0.178,5,0.238,2,64.225,0.000,0.000,74.450,3,0,12,0,12,0,24,0,0.003
"2x0y_ligand",0,0,0,0,0,5,0,-2,254.245,5.279,521.884,276.788,194.428,50.668,0.000,843.445,2.000,8.400,0.0330374,0.0227625,0.8272357,24.874,8.034,15.701,12.742,-0.155,-2.367,-1.850,-4.569,141.952,-1.632,59.967,-4.444,9.073,0.609,2,-0.775,3,64.560,0.000,0.000,113.351,8,0,9,0,9,0,18,0,0.039
"2x00_ligand",2,0,0,0,0,1,1,0,509.728,3.697,780.009,676.886,94.720,8.403,0.000,1586.124,1.000,7.400,0.0086168,0.0094871,0.8432513,56.761,13.684,24.428,10.831,5.514,-7.508,-6.643,-4.108,1252.200,-0.385,630.846,-3.140,9.569,-0.299,12,1.427,1,88.759,0.000,0.000,82.015,5,2,30,0,21,19,37,2,0.000
"2wzs_ligand",0,0,0,0,0,5,0,-2,200.194,4.547,386.668,104.968,194.465,87.235,0.000,629.762,4.000,8.300,0.0328337,0.0429309,0.9189204,16.672,7.152,15.950,15.497,-1.177,-1.070,-0.966,-3.260,141.838,-1.273,59.915,-4.316,9.279,-0.621,4,-0.863,2,58.565,0.000,0.000,102.886,6,0,9,0,9,4,14,0,0.824
"2wzm_ligand",10,0,0,4,0,18,4,-2,623.300,15.563,744.925,186.984,471.934,74.449,11.558,1437.980,7.000,25.500,0.1684312,0.0905684,0.8270932,40.547,17.038,40.759,36.631,-2.896,-0.344,-2.316,2.545,0.005,-5.092,0.001,-8.227,9.044,0.806,6,-2.802,1,0.000,0.000,0.000,309.307,21,3,19,0,19,8,39,1,0.002
"2wzf_ligand",6,0,0,3,0,10,2,-2,404.163,20.828,540.072,45.328,430.194,53.376,11.175,961.010,3.000,15.600,0.4513926,0.0500304,0.8720317,26.394,11.382,28.536,21.866,-2.038,-0.500,-1.843,1.565,0.013,-3.783,0.006,-8.300,9.305,0.419,3,-2.057,1,0.000,0.000,0.000,246.583,14,2,11,0,11,4,25,1,0.001
"2wyf_ligand",4,0,0,0,0,12,2,-2,356.326,5.923,563.088,293.619,269.470,0.000,0.000,1013.225,7.000,18.700,0.0346239,0.0878647,0.8664147,26.690,11.175,29.406,28.931,-3.268,-1.115,-0.003,-3.694,27.575,-2.553,10.203,-5.334,10.702,-1.596,7,-1.434,1,7.675,0.000,0.000,178.749,11,2,12,0,12,10,24,1,0.127
"2wvz_ligand",1,0,0,0,0,5,2,-2,232.193,9.392,397.556,106.596,290.961,0.000,0.000,666.147,5.000,12.300,0.1324058,0.0691817,0.9278549,17.295,7.900,21.509,20.990,-2.793,-1.404,-0.391,-2.699,17.247,-1.991,6.144,-6.402,9.764,-0.109,4,-0.873,2,32.724,0.000,0.000,158.106,8,0,9,0,9,5,16,1,0.004
"2wvt_ligand",2,1,0,0,0,7,0,-2,193.199,3.866,382.738,151.400,231.338,0.000,0.000,623.880,6.000,10.000,0.0239600,0.0639992,0.9225667,14.319,7.224,18.812,19.307,-2.593,0.137,0.600,-3.511,15.813,-1.272,6.188,-7.174,9.160,-2.301,5,-0.876,2,20.263,0.000,0.000,121.951,6,1,6,0,6,5,13,1,0.018
"2wuf_ligand",1,0,0,1,0,7,4,-2,348.395,4.847,605.362,352.328,244.909,8.124,0.000,1121.560,1.000,10.000,0.0209430,0.0165190,0.8623794,34.314,10.689,18.550,12.667,1.005,-2.563,-2.418,-1.990,11.941,-2.054,5.251,-5.332,10.511,1.003,5,-0.728,2,52.108,0.000,0.000,155.016,6,0,9,0,9,7,25,1,0.004
"2wtv_ligand",1,0,0,1,0,3,0,-2,476.869,6.641,735.779,44.357,161.030,395.217,135.176,1316.687,2.000,5.500,0.0334984,0.0105713,0.7895980,48.388,14.997,23.465,13.006,5.456,-7.635,-8.011,-5.014,74.551,-1.008,209.189,-2.807,8.802,1.187,2,0.770,1,79.444,63.659,0.000,96.784,6,1,27,0,24,1,34,1,0.000
"2wr8_ligand",3,1,0,1,0,10,0,-2,384.409,6.276,614.180,136.743,345.716,96.438,35.282,1088.248,7.000,12.600,0.0361920,0.0542780,0.8330829,31.898,13.270,28.644,24.674,-3.463,-1.844,-1.610,-3.611,0.330,-2.875,0.187,-8.654,8.578,0.329,7,-1.118,1,0.000,0.000,0.000,188.972,11,2,14,0,14,4,26,2,0.000
"2wq5_ligand",1,1,0,0,1,7,0,-2,459.498,8.400,700.718,338.973,282.743,79.002,0.000,1310.809,2.000,9.450,0.0538271,0.0190723,0.8266372,42.564,13.387,23.285,16.981,0.401,-1.719,-3.621,-4.066,2.825,-2.218,1.839,-7.843,8.401,0.259,10,-0.266,1,24.410,0.000,32.730,178.932,10,1,18,0,18,8,33,2,0.000
"2wos_ligand",0,0,0,1,0,4,0,-2,299.344,5.662,544.325,0.000,145.052,396.782,2.491,914.673,2.000,4.500,0.0350437,0.0116915,0.8371778,31.672,10.913,16.408,11.195,2.976,-3.901,-4.411,-4.251,105.675,-1.051,57.209,-2.411,8.080,0.954,2,-0.124,3,80.594,0.000,0.000,71.680,4,0,16,0,16,0,21,0,0.146
"2wor_ligand",1,0,0,1,0,4,0,-1,299.344,3.129,514.102,0.000,104.882,407.026,2.194,885.389,2.000,4.500,0.0110572,0.0123788,0.8673711,30.598,10.538,15.605,10.918,3.104,-3.396,-4.411,-3.812,254.043,-0.602,147.090,-1.635,7.871,1.063,3,-0.179,3,88.163,0.000,0.000,61.237,4,0,16,0,16,0,21,0,2.791
"2wnj_ligand",0,0,0,0,0,5,0,0,308.379,5.617,605.810,325.626,39.884,240.301,0.000,1049.184,0.000,4.000,0.0300665,0.0000000,0.8242573,34.919,9.899,13.461,5.920,4.197,-4.789,-4.651,-5.522,4146.510,-0.129,2301.399,-0.928,8.793,0.457,5,0.381,3,100.000,0.000,0.000,39.329,4,0,18,0,18,3,23,0,0.592
"2wnc_ligand",0,1,0,0,0,2,0,1,284.357,6.266,530.618,263.382,67.981,199.255,0.000,941.244,0.000,3.000,0.0417139,0.0000000,0.8753563,32.133,8.923,12.420,5.328,3.211,-3.157,-3.238,-5.225,559.930,0.250,292.410,-3.941,8.557,0.274,1,0.463,3,94.931,0.000,0.000,51.829,4,0,17,0,17,7,21,0,0.023
"2wn9_ligand",0,0,0,0,0,5,0,0,294.352,5.211,581.700,235.324,94.482,251.894,0.000,996.613,1.000,4.000,0.0272486,0.0068764,0.8295010,32.926,10.086,14.475,7.777,3.495,-4.618,-4.481,-5.492,1258.710,-0.653,634.392,-1.893,8.837,0.467,5,0.342,3,100.000,0.000,0.000,53.741,4,0,18,0,18,3,22,0,0.091
"2wm0_ligand",11,0,0,0,2,16,2,-2,625.644,5.444,919.841,542.405,327.987,5.282,44.167,1734.750,9.000,26.900,0.0170858,0.0877326,0.7590613,53.048,19.298,45.899,45.017,-4.641,-0.225,-0.198,-2.707,2.427,-4.088,4.476,-6.010,9.484,0.274,9,-2.722,1,0.000,0.000,62.885,271.629,17,3,21,0,21,15,42,2,0.365
"2wlz_ligand",2,0,0,0,1,10,1,-2,422.449,10.192,632.988,335.011,250.275,3.695,44.006,1184.315,6.000,17.600,0.0877171,0.0681071,0.8552257,34.857,12.700,31.164,28.115,-2.513,-1.417,-0.759,-2.518,31.057,-2.212,27.960,-5.159,9.185,-0.231,7,-1.552,2,13.019,0.000,16.380,179.963,11,2,15,0,15,10,28,1,0.112
"2wly_ligand",0,0,0,0,0,10,1,-2,438.510,8.066,638.596,334.806,217.262,3.332,83.197,1212.675,6.000,17.100,0.0536477,0.0655912,0.8611949,35.988,13.003,30.887,26.211,-1.193,-2.247,-1.813,-3.794,86.220,-1.788,99.913,-4.552,8.597,0.724,7,-1.124,2,41.644,0.000,0.000,161.349,10,1,15,0,15,10,28,1,0.070
"2wl0_ligand",8,0,0,0,1,16,1,-2,693.841,6.800,1000.229,367.990,112.985,519.254,0.000,2039.746,4.250,11.700,0.0226702,0.0241146,0.7776481,70.162,22.430,36.662,21.185,5.900,-6.904,-9.141,-6.232,735.490,-1.646,409.925,-0.236,9.099,0.430,8,0.669,1,73.923,0.000,7.272,151.359,11,3,27,0,27,3,51,2,0.050
"2wkz_ligand",8,0,0,0,1,16,1,-2,693.841,6.800,1000.229,367.990,112.985,519.254,0.000,2039.746,4.250,11.700,0.0226702,0.0241146,0.7776481,70.162,22.430,36.662,21.185,5.900,-6.904,-9.141,-6.232,735.490,-1.646,409.925,-0.236,9.099,0.430,8,0.669,1,73.923,0.000,7.272,151.359,11,3,27,0,27,3,51,2,0.050
"2wky_ligand",1,1,0,1,0,4,1,-2,238.243,8.587,437.052,189.577,228.147,19.328,0.000,740.960,4.000,7.200,0.0995116,0.0329480,0.9060697,21.115,7.932,17.907,14.522,-2.557,-1.210,-0.509,-2.063,4.294,-1.132,1.923,-7.335,9.495,0.670,6,-0.798,2,23.301,0.000,0.000,126.196,6,0,10,0,5,3,17,1,0.001
"2wk6_ligand",3,0,0,0,0,0,1,-1,237.984,3.750,301.947,22.311,182.775,19.100,77.761,455.314,1.000,4.000,0.0308846,0.0132474,0.9479265,12.250,4.886,8.121,7.251,-0.341,-1.106,-2.773,-2.466,183.083,-0.602,210.540,-4.821,9.933,2.411,2,-0.740,2,65.448,0.000,0.000,102.196,4,0,6,0,6,1,9,0,0.282
"2wjg_ligand",5,0,0,3,0,11,2,-2,443.203,12.444,633.880,71.843,499.939,55.333,6.764,1098.411,5.000,17.600,0.1409694,0.0620856,0.8122092,31.270,13.493,30.099,27.256,-2.678,-1.451,-2.050,0.588,0.003,-5.135,0.001,-9.482,8.564,0.674,3,-2.082,1,0.000,0.000,0.000,270.373,16,2,14,0,14,4,28,1,0.000
"2whp_ligand",0,0,0,0,0,5,0,-1,247.296,7.272,527.281,166.395,116.133,244.753,0.000,873.747,2.000,6.700,0.0605251,0.0179700,0.8382629,27.940,9.209,16.198,11.868,1.413,-2.880,-2.335,-5.316,784.534,-0.840,380.573,-2.318,7.996,0.062,7,-0.440,3,87.026,0.000,0.000,67.030,5,0,12,0,12,2,18,1,1.569
"2wgj_ligand",1,1,0,0,0,4,0,0,450.342,1.860,697.797,274.695,114.921,188.894,119.288,1274.135,3.000,5.250,0.0027138,0.0130314,0.8145407,44.072,13.181,22.272,12.190,4.083,-5.439,-6.085,-6.160,200.913,-0.141,434.832,-4.651,7.899,0.568,5,0.753,3,92.072,40.564,0.000,72.935,6,0,23,0,23,5,30,0,0.000
"2wf5_ligand",2,0,0,2,0,9,2,-2,260.137,11.945,437.830,98.174,334.788,0.000,4.867,716.003,6.000,13.500,0.1992895,0.0755273,0.8840357,16.722,8.614,24.342,23.151,-2.324,-1.142,-0.255,0.207,0.425,-2.823,0.193,-6.826,10.405,-0.040,3,-1.451,1,0.000,0.000,0.000,166.661,9,1,6,0,6,5,16,1,0.003
"2wer_ligand",0,0,0,0,0,2,3,0,364.782,9.506,531.023,236.216,144.874,101.442,48.491,996.244,2.000,7.500,0.0907124,0.0199739,0.9084382,33.400,10.246,19.453,12.565,1.729,-3.432,-3.678,-3.497,418.849,-0.608,356.018,-3.640,9.214,0.705,4,-0.084,3,84.002,0.000,0.000,108.265,6,0,19,3,6,5,25,0,0.031
"2weq_ligand",4,0,0,0,0,25,0,-2,570.722,5.905,781.562,561.561,172.849,47.153,0.000,1640.452,7.000,12.550,0.0212575,0.0424844,0.8606843,43.895,16.261,31.357,20.195,2.530,-1.822,-5.717,-4.011,227.393,-2.499,99.793,-2.139,7.895,-0.254,12,-0.489,1,45.065,0.000,0.000,145.861,11,3,6,0,6,0,40,1,62.448
"2weo_ligand",1,0,0,0,0,2,0,-1,175.177,6.788,345.947,0.000,140.753,156.490,48.704,531.433,2.000,4.500,0.0866995,0.0183958,0.9171813,15.324,5.446,11.435,9.511,0.142,-1.648,-1.545,-3.618,458.293,-0.553,393.445,-3.370,10.457,1.054,0,-0.700,3,75.405,46.888,0.000,65.675,3,0,6,0,6,0,11,0,3.421
"2wej_ligand",1,0,0,0,0,2,0,-1,157.187,7.471,337.180,0.000,140.812,194.555,1.813,515.398,2.000,4.500,0.1082863,0.0188741,0.9220020,15.046,5.893,11.472,9.733,0.059,-1.453,-1.265,-3.722,457.703,-0.657,217.478,-3.237,10.373,0.745,0,-0.725,3,74.910,0.000,0.000,65.627,3,0,6,0,6,0,10,0,8.766
"2weh_ligand",1,0,0,0,0,2,0,-1,191.632,7.497,351.026,0.000,132.446,165.452,53.128,548.682,2.000,4.500,0.1024449,0.0181296,0.9233630,16.100,6.370,11.930,9.529,0.203,-1.634,-1.818,-3.561,549.431,-0.462,506.130,-3.186,10.070,0.931,0,-0.661,3,77.176,0.000,0.000,63.597,3,0,6,0,6,0,11,0,4.665
"2weg_ligand",1,0,0,0,0,2,0,-1,175.177,7.465,342.210,0.000,137.580,171.637,32.992,527.216,2.000,4.500,0.1056900,0.0185966,0.9222838,15.300,5.637,11.628,9.578,0.133,-1.627,-1.545,-3.608,491.162,-0.554,347.803,-3.258,10.477,0.998,0,-0.703,3,75.893,31.401,0.000,64.834,3,0,6,0,6,0,11,0,5.824
